,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
16691,Nick Jones,SG,26,GSW,65,478,9.7,.482,,.311,,,3.6,13.2,,,,,0.2,0.5,0.7,.073,,,,,1971-1972,3.0
16692,Nick Mantis,SG,24,MNL,10,71,1.7,.263,,.051,,,,,,,,,-0.4,0.1,-0.3,-0.201,,,,,1959-1960,1.0
16693,Nick Mantis,SG,27,STL,9,58,5.8,.396,,.450,,,,,,,,,-0.1,0.1,0.0,-0.008,,,,,1962-1963,2.0
16694,Nick Richards,PF,23,CHO,18,63,5.5,.542,.111,1.222,6.8,12.2,9.5,4.2,0.0,0.0,17.8,11.5,0.0,0.0,0.0,.026,-5.9,-2.1,-8.0,-0.1,2020-2021,1.0
16695,Nick Richards,C,24,CHO,50,367,15.9,.689,.000,.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,0.6,0.3,1.0,.125,-2.6,-0.2,-2.8,-0.1,2021-2022,2.0
16696,Nick Van Exel,PG,22,LAL,81,2700,13.6,.485,.347,.183,1.8,8.0,4.8,25.4,1.6,0.2,11.3,19.9,2.7,0.7,3.4,.061,0.6,-1.7,-1.1,0.6,1993-1994,1.0
16697,Nick Van Exel,PG,23,LAL,80,2944,16.3,.544,.462,.271,1.0,7.4,4.2,33.6,1.7,0.1,15.1,21.3,5.0,1.3,6.4,.104,2.5,-2.0,0.5,1.9,1994-1995,2.0
16698,Nick Van Exel,PG,24,LAL,74,2513,15.9,.528,.424,.215,1.4,6.9,4.2,30.7,1.4,0.3,13.0,21.4,4.2,1.6,5.7,.109,2.3,-1.8,0.6,1.6,1995-1996,3.0
16699,Nick Van Exel,PG,25,LAL,79,2937,16.0,.518,.435,.186,1.7,7.0,4.4,37.5,1.3,0.3,15.4,21.0,5.0,2.2,7.2,.118,2.9,-1.8,1.1,2.3,1996-1997,4.0
16700,Nick Van Exel,PG,26,LAL,64,2053,17.8,.538,.425,.231,1.8,8.8,5.3,33.5,1.6,0.2,11.3,19.8,5.6,1.5,7.1,.166,3.7,-1.0,2.6,2.4,1997-1998,5.0
16701,Nick Van Exel,PG,27,DEN,50,1802,16.7,.488,.304,.228,0.9,6.6,3.6,38.6,1.2,0.1,12.5,24.3,3.2,-1.0,2.2,.058,2.6,-3.4,-0.8,0.6,1998-1999,6.0
16702,Nick Van Exel,PG,28,DEN,79,2950,16.0,.483,.331,.198,1.2,10.3,5.7,39.7,1.2,0.3,14.4,22.7,3.7,1.2,4.9,.079,2.0,-2.2,-0.2,1.3,1999-2000,7.0
16703,Nick Van Exel,PG,29,DEN,71,2688,18.5,.515,.322,.224,1.8,8.1,4.9,38.4,1.2,0.5,11.9,23.0,6.1,0.3,6.4,.114,4.0,-2.0,1.9,2.7,2000-2001,8.0
16704,Nick Van Exel,PG-SG,30,TOT,72,2496,17.8,.495,.285,.205,1.2,10.5,5.8,35.1,0.9,0.3,10.5,26.8,3.9,0.4,4.4,.084,3.6,-1.9,1.7,2.4,2001-2002,9.0
16705,Nick Van Exel,SG,31,DAL,73,2026,15.6,.510,.375,.173,1.9,9.4,5.7,24.4,1.1,0.1,12.1,22.8,2.6,1.3,4.0,.094,1.8,-1.6,0.2,1.1,2002-2003,10.0
16706,Nick Van Exel,PG,32,GSW,39,1255,13.1,.469,.313,.207,1.4,7.9,4.7,28.5,0.9,0.1,13.0,22.1,0.8,0.4,1.2,.045,0.4,-1.8,-1.4,0.2,2003-2004,11.0
16707,Nick Van Exel,SG,33,POR,53,1619,12.5,.494,.458,.132,1.5,9.7,5.7,23.3,1.5,0.0,13.4,19.5,0.9,0.7,1.6,.049,0.3,-1.2,-1.0,0.4,2004-2005,12.0
16708,Nick Van Exel,PG,34,SAS,65,986,11.0,.492,.449,.120,0.7,9.9,5.5,20.2,0.9,0.2,13.6,20.2,0.1,1.3,1.4,.070,-0.9,-0.2,-1.1,0.2,2005-2006,13.0
16709,Nick Vanos,C,22,PHO,11,202,3.4,.329,.000,.319,12.5,21.3,17.1,10.2,0.5,1.4,19.6,20.2,-0.6,0.2,-0.4,-0.106,-7.9,-2.2,-10.1,-0.4,1985-1986,1.0
16710,Nick Vanos,C,23,PHO,57,640,9.1,.457,.013,.373,12.0,19.5,15.8,8.4,1.4,2.1,20.7,14.7,-0.4,0.7,0.3,.024,-3.9,-0.1,-4.1,-0.3,1986-1987,2.0
16711,Nick Weatherspoon,SF,23,CAP,65,1216,13.2,.454,,.288,10.3,20.9,15.5,4.4,1.8,0.7,,,-0.1,2.2,2.1,.082,-2.7,0.0,-2.6,-0.2,1973-1974,1.0
16712,Nick Weatherspoon,SF,24,WSB,82,1347,14.5,.494,,.246,9.8,15.9,12.9,5.4,2.2,0.8,,,1.0,2.6,3.6,.128,-1.5,0.6,-0.9,0.4,1974-1975,2.0
16713,Nick Weatherspoon,SF,25,WSB,64,1083,15.8,.513,,.299,8.4,17.6,13.1,7.7,2.0,0.8,,,0.7,1.7,2.4,.108,-1.2,0.3,-0.9,0.3,1975-1976,3.0
16714,Nick Weatherspoon,SF,26,TOT,62,1657,12.8,.472,,.209,7.2,19.9,13.3,4.7,1.4,0.9,,,0.6,2.1,2.6,.076,-1.3,-0.7,-2.0,-0.1,1976-1977,4.0
16715,Nick Weatherspoon,SF,27,CHI,41,611,10.5,.492,,.216,10.2,12.1,11.1,7.5,1.5,0.9,18.7,17.3,0.2,0.4,0.6,.049,-1.7,-1.0,-2.7,-0.1,1977-1978,5.0
16716,Nick Weatherspoon,SF,28,SDC,82,2642,12.7,.514,,.238,7.2,11.1,9.1,6.7,1.4,0.7,14.3,18.5,2.8,1.0,3.7,.068,-0.4,-1.3,-1.7,0.2,1978-1979,6.0
16717,Nick Weatherspoon,SF,29,SDC,57,1124,9.3,.468,.000,.241,7.7,12.4,10.0,6.4,1.4,0.8,17.1,17.9,-0.4,0.5,0.1,.002,-3.4,-1.4,-4.8,-0.8,1979-1980,7.0
16718,Nick Young,SG,22,WAS,75,1158,11.6,.527,.209,.259,2.3,9.6,5.8,9.6,1.6,0.5,15.0,24.9,-0.1,0.6,0.4,.017,-2.6,-2.1,-4.7,-0.8,2007-2008,1.0
16719,Nick Young,SG,23,WAS,82,1837,13.1,.530,.217,.255,1.9,7.8,4.8,9.0,1.1,0.9,9.9,23.1,1.2,-0.1,1.2,.030,-0.9,-2.5,-3.3,-0.6,2008-2009,2.0
16720,Nick Young,SG,24,WAS,74,1421,10.7,.519,.305,.233,1.6,6.7,4.1,5.7,1.0,0.4,8.3,21.4,0.9,0.5,1.4,.046,-2.0,-1.7,-3.7,-0.6,2009-2010,3.0
16721,Nick Young,SG,25,WAS,64,2034,14.5,.538,.290,.244,1.4,8.6,4.9,6.6,1.1,0.6,8.0,24.4,2.3,0.4,2.8,.065,0.6,-1.8,-1.3,0.4,2010-2011,4.0
16722,Nick Young,SG,26,TOT,62,1729,12.9,.512,.360,.216,2.0,6.8,4.4,5.7,1.3,0.8,8.8,24.5,1.4,0.6,1.9,.053,-0.3,-2.1,-2.4,-0.2,2011-2012,5.0
16723,Nick Young,SG,27,PHI,59,1411,13.3,.525,.387,.236,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,1.4,1.0,2.3,.079,-0.1,-0.6,-0.7,0.5,2012-2013,6.0
16724,Nick Young,SG,28,LAL,64,1810,16.0,.564,.394,.321,1.7,8.1,4.9,9.0,1.2,0.5,8.6,26.8,2.3,0.3,2.5,.067,1.4,-1.9,-0.5,0.7,2013-2014,7.0
16725,Nick Young,SG,29,LAL,42,1000,14.2,.520,.473,.311,1.8,9.1,5.3,6.9,1.2,0.9,7.5,26.0,1.1,0.1,1.2,.058,0.8,-2.1,-1.3,0.2,2014-2015,8.0
16726,Nick Young,SG,30,LAL,54,1033,9.1,.483,.637,.204,1.4,9.0,5.1,5.4,1.1,0.5,6.9,18.5,0.1,0.0,0.1,.003,-1.6,-2.1,-3.7,-0.5,2015-2016,9.0
16727,Nick Young,SG,31,LAL,60,1556,14.1,.588,.665,.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,3.0,0.2,3.2,.098,1.7,-1.8,-0.1,0.7,2016-2017,10.0
16728,Nick Young,SG,32,GSW,80,1393,10.0,.562,.668,.133,1.7,7.9,5.0,3.5,1.3,0.4,7.0,17.5,0.8,0.9,1.7,.059,-1.6,-1.9,-3.5,-0.5,2017-2018,11.0
16729,Nick Young,SG,33,DEN,4,37,2.3,.500,.889,.000,0.0,2.9,1.5,6.8,0.0,2.4,18.2,12.7,0.0,0.0,0.0,-0.021,-4.3,-2.5,-6.9,0.0,2018-2019,12.0
