,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,name
5,2011-12,29.0,ORL,NBA,PG,5.0,5.0,36.4,5.8,14.8,0.392,1.6,5.0,0.32,4.2,9.8,0.429,0.446,2.4,3.2,0.75,0.2,3.6,3.8,6.6,0.8,0.2,2.0,2.6,15.6,Jameer Nelson
0,2010-11,25.0,MEM,NBA,C,9.0,0.0,3.4,0.3,1.1,0.3,0.0,0.1,0.0,0.3,1.0,0.333,0.3,0.6,0.7,0.833,0.3,0.6,0.9,0.0,0.0,0.6,0.2,0.8,1.2,Hamed Haddadi
1,2011-12,26.0,MEM,NBA,C,4.0,0.0,5.3,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.3,0.5,0.5,1.3,1.0,2.3,0.3,0.0,0.5,0.3,1.3,1.3,Hamed Haddadi
0,2013-14,23.0,BRK,NBA,C,10.0,0.0,11.4,0.7,1.6,0.438,0.0,0.0,,0.7,1.6,0.438,0.438,0.8,1.8,0.444,0.5,1.8,2.3,0.2,0.3,0.7,0.9,2.4,2.2,Mason Plumlee
1,2014-15,24.0,BRK,NBA,C,6.0,0.0,8.2,0.7,1.0,0.667,0.0,0.0,,0.7,1.0,0.667,0.667,0.7,1.8,0.364,0.3,1.0,1.3,0.3,0.7,0.3,0.5,1.7,2.0,Mason Plumlee
2,2015-16,25.0,POR,NBA,C,11.0,11.0,27.8,2.5,6.4,0.4,0.0,0.0,,2.5,6.4,0.4,0.4,1.9,3.0,0.636,3.4,8.5,11.8,4.8,0.6,1.0,2.3,3.8,7.0,Mason Plumlee
3,2018-19,28.0,DEN,NBA,C,14.0,0.0,15.6,1.7,3.4,0.511,0.0,0.1,0.0,1.7,3.3,0.522,0.511,1.1,2.0,0.571,1.9,2.6,4.4,1.5,0.5,0.7,0.6,2.8,4.6,Mason Plumlee
4,2019-20,29.0,DEN,NBA,C,19.0,0.0,10.8,1.0,2.1,0.487,0.0,0.1,0.0,1.0,2.0,0.5,0.487,0.4,0.6,0.667,1.6,1.6,3.2,1.3,0.2,0.4,0.6,2.1,2.4,Mason Plumlee
0,1988-89,23.0,BOS,NBA,SF,1.0,1.0,29.0,4.0,11.0,0.364,0.0,1.0,0.0,4.0,10.0,0.4,0.364,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,8.0,Kevin Gamble
1,1989-90,24.0,BOS,NBA,SF,3.0,0.0,2.7,1.0,1.7,0.6,0.0,0.0,,1.0,1.7,0.6,0.6,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.3,0.3,2.0,Kevin Gamble
2,1990-91,25.0,BOS,NBA,SF,11.0,11.0,21.6,2.6,5.5,0.483,0.0,0.0,,2.6,5.5,0.483,0.483,0.7,1.1,0.667,0.3,0.9,1.2,1.7,0.4,0.2,0.6,2.2,6.0,Kevin Gamble
3,1991-92,26.0,BOS,NBA,SF,10.0,10.0,33.5,6.2,13.1,0.473,0.0,0.2,0.0,6.2,12.9,0.481,0.473,1.2,1.5,0.8,1.3,2.9,4.2,2.3,1.2,0.6,1.0,2.6,13.6,Kevin Gamble
4,1992-93,27.0,BOS,NBA,SF,4.0,4.0,35.5,5.8,10.5,0.548,1.3,3.0,0.417,4.5,7.5,0.6,0.607,1.0,1.0,1.0,0.8,1.5,2.3,2.5,1.5,0.3,1.3,2.8,13.8,Kevin Gamble
5,1995-96,30.0,SAC,NBA,SF,2.0,0.0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Gamble
0,1989-90,24.0,POR,NBA,PF,13.0,0.0,12.3,1.4,2.5,0.545,0.0,0.0,,1.4,2.5,0.545,0.545,0.5,0.6,0.75,0.7,1.5,2.2,0.2,0.2,0.2,0.9,2.1,3.2,Matt Ryan
1,1990-91,25.0,POR,NBA,PF,14.0,0.0,9.8,0.7,1.6,0.455,0.0,0.0,,0.7,1.6,0.455,0.455,1.0,1.1,0.875,1.0,1.3,2.3,0.1,0.1,0.1,0.3,1.8,2.4,Matt Ryan
2,1991-92,26.0,POR,NBA,PF,12.0,0.0,9.7,0.8,2.4,0.345,0.0,0.0,,0.8,2.4,0.345,0.345,0.3,0.3,0.75,0.9,1.5,2.4,0.1,0.3,0.0,0.8,1.8,1.9,Matt Ryan
3,1992-93,27.0,POR,NBA,C,4.0,4.0,20.8,4.3,9.3,0.459,0.0,0.0,,4.3,9.3,0.459,0.459,1.3,1.3,1.0,2.5,2.0,4.5,0.0,0.0,0.8,1.5,3.5,9.8,Matt Ryan
4,1993-94,28.0,POR,NBA,C,4.0,1.0,16.0,1.3,4.3,0.294,0.0,0.5,0.0,1.3,3.8,0.333,0.294,0.0,0.0,,1.5,1.5,3.0,0.5,0.5,0.5,0.8,1.8,2.5,Matt Ryan
5,1994-95,29.0,POR,NBA,PF,2.0,0.0,3.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,Matt Ryan
6,1995-96,30.0,HOU,NBA,PF,8.0,0.0,18.1,2.6,4.4,0.6,0.0,0.0,,2.6,4.4,0.6,0.6,1.5,1.9,0.8,0.9,2.5,3.4,0.5,0.1,0.3,0.4,2.6,6.8,Matt Ryan
7,1996-97,31.0,PHO,NBA,PF,4.0,0.0,9.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.8,0.8,1.0,0.3,0.8,1.0,0.0,0.0,0.0,0.5,1.0,2.8,Matt Ryan
8,1997-98,32.0,PHO,NBA,C,4.0,1.0,23.3,4.3,8.5,0.5,0.0,0.0,,4.3,8.5,0.5,0.5,1.5,3.0,0.5,2.3,3.5,5.8,0.3,1.0,0.5,0.8,4.0,10.0,Matt Ryan
9,2000-01,35.0,DAL,NBA,PF,4.0,0.0,8.5,0.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.5,0.5,0.0,0.0,,0.8,0.8,1.5,0.0,0.3,0.0,0.3,1.5,0.5,Matt Ryan
10,2001-02,36.0,SAS,NBA,PF,9.0,4.0,10.1,1.0,2.2,0.45,0.0,0.0,,1.0,2.2,0.45,0.45,0.3,0.7,0.5,0.9,0.4,1.3,0.1,0.1,0.2,0.1,1.6,2.3,Matt Ryan
11,2002-03,37.0,BOS,NBA,PF,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matt Ryan
0,2020-21,21.0,PHI,NBA,SG,4.0,0.0,2.3,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.3,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.5,Isaiah Todd
0,1981-82,23.0,SAS,NBA,PF,2.0,,2.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,Rich Yonakor
0,1987-88,22.0,NYK,NBA,PG,4.0,4.0,42.8,5.5,15.0,0.367,1.3,3.0,0.417,4.3,12.0,0.354,0.408,2.0,2.8,0.727,1.5,3.3,4.8,9.8,2.5,0.0,3.5,3.3,14.3,Mark Jackson
1,1988-89,23.0,NYK,NBA,PG,9.0,9.0,37.3,5.7,11.1,0.51,1.2,3.1,0.393,4.4,8.0,0.556,0.565,2.1,3.1,0.679,0.8,2.7,3.4,10.1,1.1,0.3,3.1,1.0,14.7,Mark Jackson
2,1989-90,24.0,NYK,NBA,PG,9.0,0.0,9.0,1.4,3.4,0.419,0.0,0.2,0.0,1.4,3.2,0.448,0.419,0.9,1.2,0.727,0.1,0.4,0.6,2.3,0.2,0.0,0.8,0.6,3.8,Mark Jackson
3,1990-91,25.0,NYK,NBA,PG,3.0,0.0,12.0,0.3,1.0,0.333,0.0,0.0,,0.3,1.0,0.333,0.333,0.0,0.0,,0.0,0.0,0.0,2.7,0.3,0.3,1.7,0.3,0.7,Mark Jackson
4,1991-92,26.0,NYK,NBA,PG,12.0,12.0,30.7,3.1,7.7,0.402,0.3,1.8,0.19,2.8,5.9,0.465,0.424,1.8,2.3,0.815,1.0,1.3,2.3,7.2,0.8,0.0,2.5,2.2,8.3,Mark Jackson
5,1992-93,27.0,LAC,NBA,PG,5.0,5.0,37.6,5.6,12.8,0.438,0.2,0.4,0.5,5.4,12.4,0.435,0.445,3.8,4.4,0.864,1.6,4.2,5.8,7.6,1.6,0.2,2.6,1.6,15.2,Mark Jackson
6,1994-95,29.0,IND,NBA,PG,17.0,17.0,32.6,3.5,7.6,0.454,0.9,2.4,0.4,2.5,5.3,0.478,0.515,2.0,2.7,0.739,1.6,3.6,5.2,7.2,0.9,0.0,2.4,2.0,9.9,Mark Jackson
7,1995-96,30.0,IND,NBA,PG,5.0,5.0,37.2,3.6,10.2,0.353,0.8,3.6,0.222,2.8,6.6,0.424,0.392,2.6,3.4,0.765,0.6,4.4,5.0,6.0,1.2,0.0,2.6,1.8,10.6,Mark Jackson
8,1997-98,32.0,IND,NBA,PG,16.0,16.0,30.9,3.3,7.9,0.417,0.9,2.3,0.378,2.4,5.6,0.433,0.472,1.7,2.1,0.794,1.1,3.4,4.6,8.3,1.4,0.0,2.9,1.8,9.2,Mark Jackson
9,1998-99,33.0,IND,NBA,PG,13.0,13.0,34.7,3.9,7.9,0.495,1.1,2.6,0.412,2.8,5.3,0.536,0.563,2.3,3.2,0.714,1.1,3.5,4.5,8.6,1.1,0.1,2.7,2.5,11.2,Mark Jackson
10,1999-00,34.0,IND,NBA,PG,23.0,23.0,27.6,3.0,7.7,0.392,0.9,2.9,0.313,2.1,4.7,0.44,0.452,1.2,1.3,0.903,0.5,3.2,3.7,7.7,0.8,0.1,1.9,1.8,8.1,Mark Jackson
11,2000-01,35.0,NYK,NBA,PG,5.0,5.0,31.2,4.0,8.0,0.5,0.4,1.6,0.25,3.6,6.4,0.563,0.525,0.6,0.6,1.0,0.6,4.6,5.2,5.2,1.6,0.0,2.0,1.2,9.0,Mark Jackson
12,2002-03,37.0,UTA,NBA,PG,5.0,0.0,16.6,3.0,6.0,0.5,1.0,1.8,0.556,2.0,4.2,0.476,0.583,0.2,0.2,1.0,0.4,0.6,1.0,3.2,0.6,0.0,0.8,2.2,7.2,Mark Jackson
13,2003-04,38.0,HOU,NBA,PG,5.0,0.0,7.6,0.2,1.2,0.167,0.0,0.6,0.0,0.2,0.6,0.333,0.167,0.0,0.0,,0.0,0.6,0.6,1.0,0.4,0.0,0.4,0.2,0.4,Mark Jackson
0,2012-13,20.0,DEN,NBA,SG,4.0,4.0,13.3,1.5,4.3,0.353,0.0,2.0,0.0,1.5,2.3,0.667,0.353,1.8,2.0,0.875,0.0,0.0,0.0,1.0,0.5,0.0,1.5,1.5,4.8,Evan Fournier
1,2018-19,26.0,ORL,NBA,SG,5.0,5.0,35.0,4.8,13.8,0.348,1.6,6.8,0.235,3.2,7.0,0.457,0.406,1.2,1.6,0.75,0.6,2.6,3.2,2.0,1.4,0.0,2.4,2.8,12.4,Evan Fournier
2,2019-20,27.0,ORL,NBA,SF,5.0,5.0,34.2,4.0,11.4,0.351,2.4,7.0,0.343,1.6,4.4,0.364,0.456,2.4,3.4,0.706,0.6,3.4,4.0,2.6,1.2,0.6,1.8,2.0,12.8,Evan Fournier
3,2020-21,28.0,BOS,NBA,SG,5.0,5.0,33.4,5.4,12.6,0.429,2.6,6.0,0.433,2.8,6.6,0.424,0.532,2.0,2.4,0.833,1.0,2.6,3.6,1.4,1.2,0.0,1.0,4.0,15.4,Evan Fournier
0,1998-99,23.0,LAL,NBA,SF,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,Ruben Patterson
